Timestamp,Location (city name or district name),Gender,Age (in years),What is the highest level of education you have completed?,What would best describe a wellness/fitness routine you follow or are likely to follow?,Which of the followings would best describe the main challenge you face that restricts you from following a regular wellness/fitness routine? (you can choose more than one option),How often do you follow a wellness/fitness routine?,"Whenever you practice your wellness/fitness routine, how much time on average do you spend (in minutes)?",Which of the following would best describe your purpose to follow a wellness/fitness routine?,Your general place of wellness/fitness routine is,Do you look for simple and target specific-exercises ?,"In your opinion, how important is following a well-balanced nutrition diet routine along with a wellness/fitness routine?",Which of the followings would best describe the main challenge(s) you face that restrict you from following a well-balanced nutrition diet routine? (you can choose more than one option),How likely would you be to try a remote/online mode of training for your wellness/fitness routine?,What would best describe the challenge(s) to use an online wellness/fitness service as a mainstream method to achieve your wellness/fitness goals? (you can choose more than one option),How much would you be willing to pay for such an online wellness/fitness training service (INR/month)?,"If you were to subscribe such an online  wellness/fitness training service, what would describe the ideal subscription cycle for you?",Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Price of service],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Expertise credibility of the trainer(s)],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Language of training/practice instructions in your regional language as compared to English?],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Flexibility of choosing different time slots for training/practice on different days],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Availability of hybrid options for training/practice (ability to choose online and offline training session as per my convenience)]
11-9-2022 8:26:05,Thane ,Female,18-24,College diploma / Certificate,Meditation/Mindfulness practice,"Don't know where and how to start, Lack of motivation / time",Occasionally / Rarely,Less than 15,General fitness/strength/flexibility/stamina,Home - without equipment,1,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Very Important,Important,Important,Important
11-9-2022 9:07:17,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time",4 to 5 days a week,More than 60,General fitness/strength/flexibility/stamina,Gym / Studio,3,4,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,Absence of ambience of a gym/studio and fellow members in online mode,Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Important,Important,Important
11-9-2022 9:24:09,Mumbai suburban,Male,18-24,High school,Yoga & breathing exercises,Want a personal trainer but can't afford,4 to 5 days a week,46-60,Stress/anxiety reduction and/or attain mindfulness,Gym / Studio,5,4,Lack of understanding what to eat when and in what proportion,I am interested to try out,I don't want to invest in buying any accessories at home,Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Very Important,Very Important,Important,Very Important
11-9-2022 9:43:39,Mumbai,Female,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",Occasionally / Rarely,Less than 15,Weight loss/gain,Home - without equipment,3,5,Lack of understanding what to eat when and in what proportion,I am interested to try out,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Very Important,Important,Important,Important,Important
11-9-2022 9:47:34,m,Female,25-34,Masters / Post-Graduate degree,I don't follow any wellness/fitness routine,Can't find a good trainer/expert practitioner,4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - with equipment,3,2,Can't cook at home,I am interested to try out,I don't want to invest in buying any accessories at home,Rs. 500 - 1000,Weekly subscription at a price slightly higher than monthly subscription,Very Important,Very Important,Important,Important,Important
11-9-2022 10:36:23,Mumbai ,Female,18-24,High school,Meditation/Mindfulness practice,Don't know where and how to start,4 to 5 days a week,31-45,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,3,3,Temptation for junk food,I may try only if I find something very interesting,I don’t think online training is effective,Rs. 500 - 1000,Annual subscription with price discount benefits,Important,Important,Important,Important,Important
11-9-2022 12:34:20,Mumbai ,Female,18-24,Undergraduate degree,Meditation/Mindfulness practice,Lack of motivation / time,Once/twice a week (e.g. weekends),31-45,Weight loss/gain,Gym / Studio,5,5,Temptation for junk food,I have already tried,I don’t think online training is effective,Rs. 500 - 1000,Annual subscription with price discount benefits,Neutral,Neutral,Neutral,Neutral,Neutral
11-9-2022 13:01:50,Mumbai ,Male,More than 55,Undergraduate degree,Swimming & cycling ,I follow a regular wellness/fitness routine,4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Outdoor ,5,4,I follow a balanced diet routine,I am not interested to try,Currently outdoor preferred ,Not more than Rs. 500,Not interested - so far outdoor is working fine,Not so important,Not so important,Not so important,Not so important,Not so important
11-9-2022 13:02:56,Mumbai,Male,45-54,Masters / Post-Graduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",Don't know where and how to start,4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,5,5,I follow a balanced diet routine,I am not interested to try,I don’t think online training is effective,Not more than Rs. 500,No,Neutral,Neutral,Not so important,Neutral,Not so important
11-9-2022 13:34:27,Mumbai,Male,18-24,Undergraduate degree,I don't follow any wellness/fitness routine,Lack of time is all,Occasionally / Rarely,15-30,Weight loss/gain,Home - without equipment,5,3,Temptation for junk food,I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode",Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Very Important,Neutral,Not so important,Very Important,Important
11-9-2022 13:39:59,Mumbai,Male,18-24,Undergraduate degree,I don't follow any wellness/fitness routine,"Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby",Occasionally / Rarely,31-45,General fitness/strength/flexibility/stamina,Home - without equipment,3,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits",I may try only if I find something very interesting,Instant feedback is very important to me which I think online delivery wellness/fitness services lack,Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Very Important,Not so important,Important,Important
11-9-2022 13:40:42,Mumbai ,Male,35-44,Masters / Post-Graduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",Lack of motivation / time,Daily,Less than 15,General fitness/strength/flexibility/stamina,Home - without equipment,4,3,Find it too difficult to follow a routine,I am interested to try out,I don't want to invest in buying any accessories at home,Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Very Important,Very Important,Very Important,Very Important,Very Important
11-9-2022 13:41:34,Mumbai,Female,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - without equipment,2,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I am interested to try out,"I don’t think online training is effective, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Very Important,Very Important,Not important at all,Neutral,Neutral
11-9-2022 13:42:58,Kolhapur ,Female,35-44,Masters / Post-Graduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Lack of motivation / time",4 to 5 days a week,46-60,Weight loss/gain,Walking outdoor ,4,5,Find it too difficult to follow a routine,I may try only if I find something very interesting,Instant feedback is very important to me which I think online delivery wellness/fitness services lack,Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Important,Very Important,Important
11-9-2022 13:47:45,Mumbai,Male,45-54,Masters / Post-Graduate degree,Walking & Stretching excercise,I follow a regular wellness/fitness routine,4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Garden,5,5,I follow a balanced diet routine,I am not interested to try,Instant feedback is very important to me which I think online delivery wellness/fitness services lack,Rs. 1000-2500,Annual subscription with price discount benefits,Not so important,Not so important,Not so important,Not so important,Not important at all
11-9-2022 14:10:17,Ketan Mehta ,Male,More than 55,Undergraduate degree,Walking for an hour ,Walking an hour ,4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Walking track ,1,3,I follow a balanced diet routine,I may try only if I find something very interesting,For me walking is better ,Not more than Rs. 500,Annual subscription with price discount benefits,Not so important,Not so important,Not so important,Not so important,Not so important
11-9-2022 14:52:26,Mumbai,Male,18-24,Undergraduate degree,Yoga & breathing exercises,"Don't know where and how to start, Can't find a good trainer/expert practitioner, Lack of motivation / time",Daily,46-60,General fitness/strength/flexibility/stamina,Home - with equipment,3,5,Lack of understanding what to eat when and in what proportion,I am interested to try out,Instant feedback is very important to me which I think online delivery wellness/fitness services lack,Not more than Rs. 500,Annual subscription with price discount benefits,Not important at all,Very Important,Very Important,Very Important,Very Important
11-9-2022 15:07:17,Thane ,Female,18-24,Undergraduate degree,Yoga & breathing exercises,Lack of motivation / time,4 to 5 days a week,31-45,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,3,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I have already tried,"Absence of ambience of a gym/studio and fellow members in online mode, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Annual subscription with price discount benefits,Very Important,Very Important,Not so important,Not important at all,Important
11-9-2022 15:14:30,Mumbai,Male,35-44,Masters / Post-Graduate degree,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,walk swimming,1,3,Temptation for junk food,I may try only if I find something very interesting,"I don’t think online training is effective, I don't want to invest in buying any accessories at home",Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Not important at all,Not important at all,Not important at all,Not important at all,Not important at all
11-9-2022 15:32:14,mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - with equipment,4,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, I follow a balanced diet routine",I am interested to try out,"I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Neutral,Very Important,Very Important,Very Important,Very Important
11-9-2022 15:34:02,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Daily,More than 60,Body building,Gym / Studio,5,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I may try only if I find something very interesting,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Weekly subscription at a price slightly higher than monthly subscription,Very Important,Very Important,Very Important,Important,Neutral
11-9-2022 15:36:56,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Daily,More than 60,General fitness/strength/flexibility/stamina,Gym / Studio,5,5,"Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 2500-5000,Weekly subscription at a price slightly higher than monthly subscription,Important,Important,Important,Neutral,Not important at all
11-9-2022 15:38:17,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",4 to 5 days a week,31-45,Body building,Gym / Studio,5,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 2500-5000,Annual subscription with price discount benefits,Neutral,Important,Very Important,Important,Very Important
11-9-2022 15:39:11,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",Daily,46-60,General fitness/strength/flexibility/stamina,Gym / Studio,5,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine",I have already tried,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Annual subscription with price discount benefits,Important,Important,Very Important,Very Important,Very Important
11-9-2022 15:40:30,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time, I follow a regular wellness/fitness routine",Daily,31-45,Body building,Gym / Studio,4,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine",I have already tried,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",More than Rs. 5000,Annual subscription with price discount benefits,Important,Important,Important,Neutral,Very Important
11-9-2022 15:41:38,Mumbai,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time, I follow a regular wellness/fitness routine",Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,Gym / Studio,4,5,"Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I am interested to try out,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",More than Rs. 5000,Monthly subscription at a price slightly higher than annual subscription,Very Important,Important,Important,Important,Important
11-9-2022 15:43:43,Mumbai,Female,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Daily,Less than 15,General fitness/strength/flexibility/stamina,Gym / Studio,4,5,"Lack of understanding what to eat when and in what proportion, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",More than Rs. 5000,Monthly subscription at a price slightly higher than annual subscription,Neutral,Important,Very Important,Very Important,Very Important
11-9-2022 15:45:02,Mumbai,Female,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Daily,46-60,Stress/anxiety reduction and/or attain mindfulness,Gym / Studio,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, I follow a balanced diet routine",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Annual subscription with price discount benefits,Very Important,Very Important,Very Important,Very Important,Very Important
11-9-2022 15:46:54,M,Female,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Once/twice a week (e.g. weekends),31-45,Weight loss/gain,Gym / Studio,4,3,"Temptation for junk food, Can't cook at home, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Annual subscription with price discount benefits,Important,Important,Not so important,Very Important,Neutral
11-9-2022 15:48:53,mumbay,Male,18-24,Undergraduate degree,Yoga & breathing exercises,"Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Lack of motivation / time, I follow a regular wellness/fitness routine",Daily,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine",I am not interested to try,I don't want to invest in buying any accessories at home,Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Important,Very Important,Important,Very Important
11-9-2022 15:49:59,mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",Daily,46-60,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food",I may try only if I find something very interesting,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 2500-5000,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Very Important,Important,Neutral
11-9-2022 15:50:47,mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - without equipment,4,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine, I follow a balanced diet routine",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Neutral,Important,Very Important,Not so important
11-9-2022 15:52:05,mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time",Daily,46-60,General fitness/strength/flexibility/stamina,Gym / Studio,4,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Weekly subscription at a price slightly higher than monthly subscription,Important,Important,Important,Important,Important
11-9-2022 16:09:31,Mumbai,Male,18-24,Undergraduate degree,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,Less than 15,Body building,Gym / Studio,1,1,Lack of understanding what to eat when and in what proportion,I have already tried,I don’t think online training is effective,Not more than Rs. 500,Annual subscription with price discount benefits,Not important at all,Not important at all,Not important at all,Not important at all,Not important at all
11-9-2022 16:15:52,Kolhapur ,Female,45-54,Masters / Post-Graduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",I follow a regular wellness/fitness routine,Once/twice a week (e.g. weekends),31-45,General fitness/strength/flexibility/stamina,park,4,4,Can't cook at home,I am interested to try out,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Not so important,Neutral,Neutral,Neutral,Neutral
11-9-2022 16:18:53,Pune,Male,25-34,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",Want a personal trainer but can't afford,Daily,31-45,Weight loss/gain,Hybrid - Gym and at Home,5,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food",I may try only if I find something very interesting,I don't have access to right kind of space to practice regularly,Rs. 500 - 1000,Annual subscription with price discount benefits,Not so important,Very Important,Not important at all,Not so important,Neutral
11-9-2022 16:30:00,Mumbai,Male,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)",Lack of motivation / time,Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,Gym / Studio,4,5,"Temptation for junk food, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Not so important,Important,Very Important
11-9-2022 16:58:08,Mumbai,Male,35-44,Masters / Post-Graduate degree,Yoga & breathing exercises,Don't know where and how to start,Occasionally / Rarely,15-30,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,1,3,Lack of understanding what to eat when and in what proportion,I have already tried,I don’t think online training is effective,More than Rs. 5000,Annual subscription with price discount benefits,Important,Very Important,Important,Very Important,Important
11-9-2022 17:18:30,Mumbai ,Male,18-24,High school,I don't follow any wellness/fitness routine,I follow a regular wellness/fitness routine,4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Gym / Studio,3,3,Temptation for junk food,I am interested to try out,I don't want to invest in buying any accessories at home,More than Rs. 5000,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Not important at all,Not so important,Not so important,Not important at all,Not so important
11-9-2022 17:36:50,Mumbai ,Female,18-24,High school,Physical Exercise + Yoga ,Don't know where and how to start,Occasionally / Rarely,46-60,Weight loss/gain,Gym / Studio,3,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Not so important,Not important at all,Neutral,Neutral
11-9-2022 18:01:54,Mumbai,Male,More than 55,High school,Yoga & breathing exercises,I follow a regular wellness/fitness routine,4 to 5 days a week,Less than 15,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,2,1,Find it too difficult to follow a routine,I am not interested to try,I don’t think online training is effective,Not more than Rs. 500,Annual subscription with price discount benefits,Important,Not important at all,Important,Not so important,Not important at all
11-9-2022 18:02:13,Mumbai ,Male,35-44,Masters / Post-Graduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",I follow a regular wellness/fitness routine,4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - without equipment,3,5,My schedule doesn't permit regularity in my eating habits,I may try only if I find something very interesting,I don't have access to right kind of space to practice regularly,Rs. 1000-2500,Half yearly ,Important,Important,Important,Important,Neutral
11-9-2022 18:06:25,Nanded,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",Once/twice a week (e.g. weekends),15-30,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,2,2,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I am not interested to try,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Not more than Rs. 500,Weekly subscription at a price slightly higher than monthly subscription,Neutral,Not so important,Not so important,Not important at all,Not so important
11-9-2022 18:17:04,Palghar ,Female,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Can't find a good trainer/expert practitioner, Lack of motivation / time",Once/twice a week (e.g. weekends),Less than 15,Weight loss/gain,Home - without equipment,2,2,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Important,Important,Important,Important
11-9-2022 18:28:52,Mumbai,Male,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,1,3,Lack of understanding what to eat when and in what proportion,I am interested to try out,"I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Not so important,Very Important,Neutral,Important,Not important at all
11-9-2022 18:41:39,mumbai,Male,18-24,High school,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Lack of motivation / time",4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Hybrid - Gym and at Home,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I have already tried,Absence of ambience of a gym/studio and fellow members in online mode,Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Neutral,Neutral,Neutral
11-9-2022 19:17:16,Mumbai ,Male,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Lack of motivation / time",Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,5,My schedule doesn't permit regularity in my eating habits,I may try only if I find something very interesting,Instant feedback is very important to me which I think online delivery wellness/fitness services lack,Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Very Important,Important,Very Important,Very Important
11-9-2022 19:22:56,Thane,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Want a personal trainer but can't afford",4 to 5 days a week,31-45,Body building,Gym / Studio,3,3,Lack of understanding what to eat when and in what proportion,I have already tried,I don’t think online training is effective,Not more than Rs. 500,Annual subscription with price discount benefits,Neutral,Neutral,Neutral,Neutral,Neutral
11-9-2022 20:19:03,Mumbai,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Lack of motivation / time",Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,Gym / Studio,4,3,Can't cook at home,I am interested to try out,I don't have access to right kind of space to practice regularly,Not more than Rs. 500,Weekly subscription at a price slightly higher than monthly subscription,Important,Not so important,Not so important,Not important at all,Neutral
